locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCEDHOCC_01021	CDS	549				hypothetical protein
LCEDHOCC_01022	gene	645				
LCEDHOCC_01022	CDS	645				hypothetical protein
LCEDHOCC_01023	gene	342				
LCEDHOCC_01023	CDS	342				hypothetical protein
LCEDHOCC_01024	gene	285				
LCEDHOCC_01024	CDS	285				hypothetical protein
LCEDHOCC_01025	gene	147				
LCEDHOCC_01025	CDS	147				hypothetical protein
LCEDHOCC_01026	gene	2088	ltxB			
LCEDHOCC_01026	CDS	2088	ltxB	7.4.2.5	COG2274	Leukotoxin export ATP-binding protein LtxB
LCEDHOCC_01027	gene	927	cvaA_1			
LCEDHOCC_01027	CDS	927	cvaA_1		COG0845	Colicin V secretion protein CvaA
LCEDHOCC_01028	gene	3486	smc_2			
LCEDHOCC_01028	CDS	3486	smc_2			Chromosome partition protein Smc
LCEDHOCC_01029	gene	264				
LCEDHOCC_01029	CDS	264				hypothetical protein
LCEDHOCC_01030	gene	912	dmlR			
LCEDHOCC_01030	CDS	912	dmlR			HTH-type transcriptional regulator DmlR
LCEDHOCC_01031	gene	399				
LCEDHOCC_01031	CDS	399				hypothetical protein
LCEDHOCC_01032	gene	606				
LCEDHOCC_01032	CDS	606				hypothetical protein
LCEDHOCC_01033	gene	651				
LCEDHOCC_01033	CDS	651				hypothetical protein
LCEDHOCC_01034	gene	207				
LCEDHOCC_01034	CDS	207				hypothetical protein
LCEDHOCC_01035	gene	561				
LCEDHOCC_01035	CDS	561				hypothetical protein
LCEDHOCC_01036	gene	837	bioH			
LCEDHOCC_01036	CDS	837	bioH	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
LCEDHOCC_01037	gene	789				
LCEDHOCC_01037	CDS	789				hypothetical protein
LCEDHOCC_01038	gene	426				
LCEDHOCC_01038	CDS	426				hypothetical protein
LCEDHOCC_01039	gene	231				
LCEDHOCC_01039	CDS	231				hypothetical protein
LCEDHOCC_01040	gene	990	pdxA			
LCEDHOCC_01040	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
LCEDHOCC_01041	gene	243				
LCEDHOCC_01041	CDS	243				hypothetical protein
LCEDHOCC_01042	gene	852	rpoN			
LCEDHOCC_01042	CDS	852	rpoN		COG1508	RNA polymerase sigma-54 factor
LCEDHOCC_01043	gene	1515	katA			
LCEDHOCC_01043	CDS	1515	katA	1.11.1.6	COG0753	Catalase
LCEDHOCC_01044	gene	2137				
LCEDHOCC_01044	rRNA	2137				23S ribosomal RNA (partial)
LCEDHOCC_01045	gene	76				
LCEDHOCC_01045	tRNA	76				tRNA-Ala(tgc)
LCEDHOCC_01046	gene	77				
LCEDHOCC_01046	tRNA	77				tRNA-Ile(gat)
LCEDHOCC_01047	gene	663				
LCEDHOCC_01047	rRNA	663				16S ribosomal RNA (partial)
LCEDHOCC_01048	gene	120				
LCEDHOCC_01048	CDS	120				hypothetical protein
LCEDHOCC_01049	gene	678				
LCEDHOCC_01049	CDS	678				hypothetical protein
LCEDHOCC_01050	gene	726	queH			
LCEDHOCC_01050	CDS	726	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
LCEDHOCC_01051	gene	1281				
LCEDHOCC_01051	CDS	1281				hypothetical protein
LCEDHOCC_01052	gene	513				
LCEDHOCC_01052	CDS	513				hypothetical protein
LCEDHOCC_01053	gene	717				
LCEDHOCC_01053	CDS	717				hypothetical protein
LCEDHOCC_01054	gene	1701	recJ			
LCEDHOCC_01054	CDS	1701	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
LCEDHOCC_01055	gene	192				
LCEDHOCC_01055	CDS	192				hypothetical protein
LCEDHOCC_01056	gene	204				
LCEDHOCC_01056	CDS	204				hypothetical protein
LCEDHOCC_01057	gene	963	fabH_1			
LCEDHOCC_01057	CDS	963	fabH_1	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
LCEDHOCC_01058	gene	366				
LCEDHOCC_01058	CDS	366				hypothetical protein
LCEDHOCC_01059	gene	927	fabD			
LCEDHOCC_01059	CDS	927	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
LCEDHOCC_01060	gene	204				
LCEDHOCC_01060	CDS	204				hypothetical protein
LCEDHOCC_01061	gene	1188	ccsA_1			
LCEDHOCC_01061	CDS	1188	ccsA_1			Cytochrome c biogenesis protein CcsA
LCEDHOCC_01062	gene	1065	tsaD			
LCEDHOCC_01062	CDS	1065	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
LCEDHOCC_01063	gene	702	lpxL_2			
LCEDHOCC_01063	CDS	702	lpxL_2	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
LCEDHOCC_01064	gene	198				
LCEDHOCC_01064	CDS	198				hypothetical protein
LCEDHOCC_01065	gene	1056	sbp			
LCEDHOCC_01065	CDS	1056	sbp		COG1613	Sulfate-binding protein
LCEDHOCC_01066	gene	483				
LCEDHOCC_01066	CDS	483				hypothetical protein
LCEDHOCC_01067	gene	1137	purK			
LCEDHOCC_01067	CDS	1137	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
LCEDHOCC_01068	gene	195				
LCEDHOCC_01068	CDS	195				hypothetical protein
LCEDHOCC_01069	gene	2277	metE_1			
LCEDHOCC_01069	CDS	2277	metE_1	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
LCEDHOCC_01070	gene	420				
LCEDHOCC_01070	CDS	420				hypothetical protein
LCEDHOCC_01071	gene	441				
LCEDHOCC_01071	CDS	441				hypothetical protein
LCEDHOCC_01072	gene	1065	hemE_2			
LCEDHOCC_01072	CDS	1065	hemE_2	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
LCEDHOCC_01073	gene	603				
LCEDHOCC_01073	CDS	603				hypothetical protein
LCEDHOCC_01074	gene	630				
LCEDHOCC_01074	CDS	630				hypothetical protein
LCEDHOCC_01075	gene	513	aroK			
LCEDHOCC_01075	CDS	513	aroK	2.7.1.71	COG0703	Shikimate kinase 1
LCEDHOCC_01076	gene	1587	pilQ			
LCEDHOCC_01076	CDS	1587	pilQ			Type IV pilus biogenesis and competence protein PilQ
LCEDHOCC_01077	gene	573				
LCEDHOCC_01077	CDS	573				hypothetical protein
LCEDHOCC_01078	gene	2433	lbpA_2			
LCEDHOCC_01078	CDS	2433	lbpA_2		COG1629	Lactoferrin-binding protein A
LCEDHOCC_01079	gene	915				
LCEDHOCC_01079	CDS	915			COG0803	putative periplasmic iron-binding protein
LCEDHOCC_01080	gene	876	mntC_2			
LCEDHOCC_01080	CDS	876	mntC_2		COG1108	Manganese transport system membrane protein MntC
LCEDHOCC_01081	gene	756	scaC_2			
LCEDHOCC_01081	CDS	756	scaC_2	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
LCEDHOCC_01082	gene	366	rplS_2			
LCEDHOCC_01082	CDS	366	rplS_2		COG0335	50S ribosomal protein L19
LCEDHOCC_01083	gene	516				
LCEDHOCC_01083	CDS	516				hypothetical protein
LCEDHOCC_01084	gene	1260	rsmB			
LCEDHOCC_01084	CDS	1260	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
LCEDHOCC_01085	gene	435				
LCEDHOCC_01085	CDS	435				hypothetical protein
LCEDHOCC_01086	gene	639	sad			
LCEDHOCC_01086	CDS	639	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
LCEDHOCC_01087	gene	330				
LCEDHOCC_01087	CDS	330				hypothetical protein
LCEDHOCC_01088	gene	1764				
LCEDHOCC_01088	CDS	1764				hypothetical protein
LCEDHOCC_01089	gene	453	dut_1			
LCEDHOCC_01089	CDS	453	dut_1	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LCEDHOCC_01090	gene	1188	dapL_1			
LCEDHOCC_01090	CDS	1188	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
LCEDHOCC_01091	gene	780	yaaA			
LCEDHOCC_01091	CDS	780	yaaA		COG3022	Peroxide stress resistance protein YaaA
LCEDHOCC_01092	gene	91				
LCEDHOCC_01092	tRNA	91				tRNA-Ser(tga)
LCEDHOCC_01093	gene	90				
LCEDHOCC_01093	tRNA	90				tRNA-Ser(cga)
LCEDHOCC_01094	gene	582	nqrE			
LCEDHOCC_01094	CDS	582	nqrE	7.2.1.1	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
LCEDHOCC_01095	gene	1218	nqrF			
LCEDHOCC_01095	CDS	1218	nqrF	7.2.1.1	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
LCEDHOCC_01096	gene	1056	apbE			
LCEDHOCC_01096	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
LCEDHOCC_01097	gene	216				
LCEDHOCC_01097	CDS	216				hypothetical protein
LCEDHOCC_01098	gene	249				
LCEDHOCC_01098	CDS	249				hypothetical protein
LCEDHOCC_01099	gene	1878				
LCEDHOCC_01099	CDS	1878				hypothetical protein
LCEDHOCC_01100	gene	561	ychF_2			
LCEDHOCC_01100	CDS	561	ychF_2		COG0012	Ribosome-binding ATPase YchF
LCEDHOCC_01101	gene	255	yrdA			
LCEDHOCC_01101	CDS	255	yrdA		COG0663	Protein YrdA
LCEDHOCC_01102	gene	1596	prfC			
LCEDHOCC_01102	CDS	1596	prfC		COG4108	Peptide chain release factor RF3
LCEDHOCC_01103	gene	396	hisI			
LCEDHOCC_01103	CDS	396	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
LCEDHOCC_01104	gene	705	hisF			
LCEDHOCC_01104	CDS	705	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
LCEDHOCC_01105	gene	2163	hemR			
LCEDHOCC_01105	CDS	2163	hemR		COG1629	Hemin receptor
LCEDHOCC_01106	gene	1830	tama			
LCEDHOCC_01106	CDS	1830	tama		COG0729	Translocation and assembly module subunit TamA
LCEDHOCC_01107	gene	525				
LCEDHOCC_01107	CDS	525				hypothetical protein
LCEDHOCC_01108	gene	231				
LCEDHOCC_01108	CDS	231				hypothetical protein
LCEDHOCC_01109	gene	216				
LCEDHOCC_01109	CDS	216				hypothetical protein
LCEDHOCC_01110	gene	876				
LCEDHOCC_01110	CDS	876				hypothetical protein
LCEDHOCC_01111	gene	2064	priA_2			
LCEDHOCC_01111	CDS	2064	priA_2	3.6.4.-	COG1198	Primosomal protein N'
LCEDHOCC_01112	gene	354				
LCEDHOCC_01112	CDS	354				hypothetical protein
LCEDHOCC_01113	gene	1212	sucB			
LCEDHOCC_01113	CDS	1212	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
LCEDHOCC_01114	gene	1176	sucA			
LCEDHOCC_01114	CDS	1176	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
LCEDHOCC_01115	gene	546				
LCEDHOCC_01115	CDS	546				hypothetical protein
LCEDHOCC_01116	gene	648				
LCEDHOCC_01116	CDS	648				hypothetical protein
LCEDHOCC_01117	gene	600				
LCEDHOCC_01117	CDS	600				hypothetical protein
LCEDHOCC_01118	gene	789				
LCEDHOCC_01118	CDS	789				hypothetical protein
LCEDHOCC_01119	gene	1977				
LCEDHOCC_01119	CDS	1977				hypothetical protein
LCEDHOCC_01120	gene	561				
LCEDHOCC_01120	CDS	561				hypothetical protein
LCEDHOCC_01121	gene	612				
LCEDHOCC_01121	CDS	612				hypothetical protein
LCEDHOCC_01122	gene	396				
LCEDHOCC_01122	CDS	396				hypothetical protein
LCEDHOCC_01123	gene	969				
LCEDHOCC_01123	CDS	969				hypothetical protein
LCEDHOCC_01124	gene	1383				
LCEDHOCC_01124	CDS	1383				hypothetical protein
LCEDHOCC_01125	gene	117				
LCEDHOCC_01125	CDS	117				hypothetical protein
LCEDHOCC_01126	gene	1251	amiC			
LCEDHOCC_01126	CDS	1251	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
LCEDHOCC_01127	gene	462	tsaE			
LCEDHOCC_01127	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
LCEDHOCC_01128	gene	813	racE			
LCEDHOCC_01128	CDS	813	racE	5.1.1.3	COG0796	Glutamate racemase 1
LCEDHOCC_01129	gene	411				
LCEDHOCC_01129	CDS	411				hypothetical protein
LCEDHOCC_01130	gene	390				
LCEDHOCC_01130	CDS	390				hypothetical protein
LCEDHOCC_01131	gene	1173	lpxB			
LCEDHOCC_01131	CDS	1173	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
LCEDHOCC_01132	gene	375	rluC			
LCEDHOCC_01132	CDS	375	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
LCEDHOCC_01133	gene	76				
LCEDHOCC_01133	tRNA	76				tRNA-Gln(ttg)
LCEDHOCC_01134	gene	1092	prs			
LCEDHOCC_01134	CDS	1092	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
LCEDHOCC_01135	gene	573	rplY			
LCEDHOCC_01135	CDS	573	rplY			50S ribosomal protein L25
LCEDHOCC_01136	gene	840	dacC			
LCEDHOCC_01136	CDS	840	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
LCEDHOCC_01137	gene	336				
LCEDHOCC_01137	CDS	336				hypothetical protein
LCEDHOCC_01138	gene	375	yffB_1			
LCEDHOCC_01138	CDS	375	yffB_1		COG1393	Protein YffB
LCEDHOCC_01139	gene	1539	ppiD			
LCEDHOCC_01139	CDS	1539	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
LCEDHOCC_01140	gene	339				
LCEDHOCC_01140	CDS	339				hypothetical protein
LCEDHOCC_01141	gene	903	argG_2			
LCEDHOCC_01141	CDS	903	argG_2	6.3.4.5	COG0137	Argininosuccinate synthase
LCEDHOCC_01142	gene	270				
LCEDHOCC_01142	CDS	270				hypothetical protein
LCEDHOCC_01143	gene	216				
LCEDHOCC_01143	CDS	216				hypothetical protein
LCEDHOCC_01144	gene	1326				
LCEDHOCC_01144	CDS	1326				hypothetical protein
LCEDHOCC_01145	gene	546				
LCEDHOCC_01145	CDS	546				hypothetical protein
LCEDHOCC_01146	gene	1011	trpS			
LCEDHOCC_01146	CDS	1011	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
LCEDHOCC_01147	gene	981				
LCEDHOCC_01147	CDS	981				hypothetical protein
LCEDHOCC_01148	gene	663				
LCEDHOCC_01148	CDS	663				hypothetical protein
LCEDHOCC_01149	gene	297				
LCEDHOCC_01149	CDS	297				hypothetical protein
LCEDHOCC_01150	gene	159				
LCEDHOCC_01150	CDS	159				hypothetical protein
LCEDHOCC_01151	gene	174				
LCEDHOCC_01151	CDS	174				hypothetical protein
LCEDHOCC_01152	gene	195				
LCEDHOCC_01152	CDS	195				hypothetical protein
LCEDHOCC_01153	gene	1155	prpC			
LCEDHOCC_01153	CDS	1155	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
LCEDHOCC_01154	gene	876	prpB			
LCEDHOCC_01154	CDS	876	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
LCEDHOCC_01155	gene	1104	dnaN			
LCEDHOCC_01155	CDS	1104	dnaN		COG0592	Beta sliding clamp
LCEDHOCC_01156	gene	1509	dnaA			
LCEDHOCC_01156	CDS	1509	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LCEDHOCC_01157	gene	387	mlaF			
LCEDHOCC_01157	CDS	387	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
LCEDHOCC_01158	gene	777	mlaE			
LCEDHOCC_01158	CDS	777	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
LCEDHOCC_01159	gene	495	mlaD			
LCEDHOCC_01159	CDS	495	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
LCEDHOCC_01160	gene	591				
LCEDHOCC_01160	CDS	591				hypothetical protein
LCEDHOCC_01161	gene	279				
LCEDHOCC_01161	CDS	279				hypothetical protein
LCEDHOCC_01162	gene	354				
LCEDHOCC_01162	CDS	354				hypothetical protein
LCEDHOCC_01163	gene	282				
LCEDHOCC_01163	CDS	282				hypothetical protein
LCEDHOCC_01164	gene	258				
LCEDHOCC_01164	CDS	258				hypothetical protein
LCEDHOCC_01165	gene	237				
LCEDHOCC_01165	CDS	237				hypothetical protein
LCEDHOCC_01166	gene	2019				
LCEDHOCC_01166	CDS	2019				hypothetical protein
LCEDHOCC_01167	gene	606	dnaJ_2			
LCEDHOCC_01167	CDS	606	dnaJ_2		COG0484	Chaperone protein DnaJ
LCEDHOCC_01168	gene	750				
LCEDHOCC_01168	CDS	750				hypothetical protein
LCEDHOCC_01169	gene	510	ppiB			
LCEDHOCC_01169	CDS	510	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
LCEDHOCC_01170	gene	1416	sdcS			
LCEDHOCC_01170	CDS	1416	sdcS			Sodium-dependent dicarboxylate transporter SdcS
LCEDHOCC_01171	gene	702	adh			
LCEDHOCC_01171	CDS	702	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
LCEDHOCC_01172	gene	183				
LCEDHOCC_01172	CDS	183				hypothetical protein
LCEDHOCC_01173	gene	1041	mutY			
LCEDHOCC_01173	CDS	1041	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
LCEDHOCC_01174	gene	183				
LCEDHOCC_01174	CDS	183				hypothetical protein
LCEDHOCC_01175	gene	204				
LCEDHOCC_01175	CDS	204				hypothetical protein
LCEDHOCC_01176	gene	369				
LCEDHOCC_01176	CDS	369				hypothetical protein
LCEDHOCC_01177	gene	1620	mnmC			
LCEDHOCC_01177	CDS	1620	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
LCEDHOCC_01178	gene	1068				
LCEDHOCC_01178	CDS	1068		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
LCEDHOCC_01179	gene	1011				
LCEDHOCC_01179	CDS	1011				hypothetical protein
LCEDHOCC_01180	gene	297				
LCEDHOCC_01180	CDS	297				hypothetical protein
LCEDHOCC_01181	gene	795				
LCEDHOCC_01181	CDS	795				hypothetical protein
LCEDHOCC_01182	gene	1323	thrC			
LCEDHOCC_01182	CDS	1323	thrC	4.2.3.1	COG0498	Threonine synthase
LCEDHOCC_01183	gene	183				
LCEDHOCC_01183	CDS	183				hypothetical protein
LCEDHOCC_01184	gene	1002	dusC			
LCEDHOCC_01184	CDS	1002	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
LCEDHOCC_01185	gene	1308				
LCEDHOCC_01185	CDS	1308				hypothetical protein
LCEDHOCC_01186	gene	495				
LCEDHOCC_01186	CDS	495				hypothetical protein
LCEDHOCC_01187	gene	2055	dinG			
LCEDHOCC_01187	CDS	2055	dinG	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
LCEDHOCC_01188	gene	1221	lysA			
LCEDHOCC_01188	CDS	1221	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
LCEDHOCC_01189	gene	171				
LCEDHOCC_01189	CDS	171				hypothetical protein
LCEDHOCC_01190	gene	324	cyaY			
LCEDHOCC_01190	CDS	324	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
LCEDHOCC_01191	gene	624	cc4			
LCEDHOCC_01191	CDS	624	cc4		COG2863	Cytochrome c4
LCEDHOCC_01192	gene	597				
LCEDHOCC_01192	CDS	597				hypothetical protein
LCEDHOCC_01193	gene	1029				
LCEDHOCC_01193	CDS	1029				hypothetical protein
LCEDHOCC_01194	gene	384				
LCEDHOCC_01194	CDS	384				hypothetical protein
LCEDHOCC_01195	gene	96				
LCEDHOCC_01195	CDS	96				hypothetical protein
LCEDHOCC_01196	gene	1542				
LCEDHOCC_01196	CDS	1542				hypothetical protein
LCEDHOCC_01197	gene	873				
LCEDHOCC_01197	CDS	873				hypothetical protein
LCEDHOCC_01198	gene	468				
LCEDHOCC_01198	CDS	468				hypothetical protein
LCEDHOCC_01199	gene	516				
LCEDHOCC_01199	CDS	516				hypothetical protein
LCEDHOCC_01200	gene	390				
LCEDHOCC_01200	CDS	390				hypothetical protein
LCEDHOCC_01201	gene	606	mutS2			
LCEDHOCC_01201	CDS	606	mutS2	3.1.-.-		Endonuclease MutS2
LCEDHOCC_01202	gene	363	ssrA			
LCEDHOCC_01202	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
LCEDHOCC_01203	gene	750				
LCEDHOCC_01203	CDS	750				IS3 family transposase ISPsy9
LCEDHOCC_01204	gene	411				
LCEDHOCC_01204	CDS	411				hypothetical protein
LCEDHOCC_01205	gene	552				
LCEDHOCC_01205	CDS	552				hypothetical protein
LCEDHOCC_01206	gene	183				
LCEDHOCC_01206	CDS	183				hypothetical protein
LCEDHOCC_01207	gene	1191				
LCEDHOCC_01207	CDS	1191				hypothetical protein
LCEDHOCC_01208	gene	381				
LCEDHOCC_01208	CDS	381				hypothetical protein
LCEDHOCC_01209	gene	2208	uvrD			
LCEDHOCC_01209	CDS	2208	uvrD	3.6.4.12	COG0210	DNA helicase II
LCEDHOCC_01210	gene	2277	metE_2			
LCEDHOCC_01210	CDS	2277	metE_2	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
LCEDHOCC_01211	gene	240				
LCEDHOCC_01211	CDS	240				hypothetical protein
LCEDHOCC_01212	gene	1302	bioA			
LCEDHOCC_01212	CDS	1302	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
LCEDHOCC_01213	gene	648	bioD1			
LCEDHOCC_01213	CDS	648	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
LCEDHOCC_01214	gene	591				
LCEDHOCC_01214	CDS	591				hypothetical protein
LCEDHOCC_01215	gene	480	lptE_2			
LCEDHOCC_01215	CDS	480	lptE_2		COG2980	LPS-assembly lipoprotein LptE
LCEDHOCC_01216	gene	780	yfiH_2			
LCEDHOCC_01216	CDS	780	yfiH_2	1.10.3.-	COG1496	Polyphenol oxidase
LCEDHOCC_01217	gene	522				
LCEDHOCC_01217	CDS	522				hypothetical protein
LCEDHOCC_01218	gene	1020	nosD_1			
LCEDHOCC_01218	CDS	1020	nosD_1			putative ABC transporter binding protein NosD
LCEDHOCC_01219	gene	621	nosF			
LCEDHOCC_01219	CDS	621	nosF		COG1131	putative ABC transporter ATP-binding protein NosF
LCEDHOCC_01220	gene	633	pdxH_2			
LCEDHOCC_01220	CDS	633	pdxH_2	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
LCEDHOCC_01221	gene	1011	ascD_2			
LCEDHOCC_01221	CDS	1011	ascD_2	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
LCEDHOCC_01222	gene	396	gatB_2			
LCEDHOCC_01222	CDS	396	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LCEDHOCC_01223	gene	741	ilvI			
LCEDHOCC_01223	CDS	741	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
LCEDHOCC_01224	gene	492	ilvH			
LCEDHOCC_01224	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
LCEDHOCC_01225	gene	294				
LCEDHOCC_01225	CDS	294				hypothetical protein
LCEDHOCC_01226	gene	1014	ilvC			
LCEDHOCC_01226	CDS	1014	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
LCEDHOCC_01227	gene	873	purA			
LCEDHOCC_01227	CDS	873	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
LCEDHOCC_01228	gene	393				
LCEDHOCC_01228	CDS	393				hypothetical protein
LCEDHOCC_01229	gene	852				
LCEDHOCC_01229	CDS	852				hypothetical protein
LCEDHOCC_01230	gene	1599	msbA			
LCEDHOCC_01230	CDS	1599	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
LCEDHOCC_01231	gene	2043	recG			
LCEDHOCC_01231	CDS	2043	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
LCEDHOCC_01232	gene	231				
LCEDHOCC_01232	CDS	231				hypothetical protein
LCEDHOCC_01233	gene	378	sdhC			
LCEDHOCC_01233	CDS	378	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
LCEDHOCC_01234	gene	342	sdhD			
LCEDHOCC_01234	CDS	342	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
LCEDHOCC_01235	gene	852				
LCEDHOCC_01235	CDS	852				hypothetical protein
LCEDHOCC_01236	gene	252				
LCEDHOCC_01236	CDS	252				hypothetical protein
LCEDHOCC_01237	gene	189				
LCEDHOCC_01237	CDS	189				hypothetical protein
LCEDHOCC_01238	gene	192				
LCEDHOCC_01238	CDS	192				hypothetical protein
LCEDHOCC_01239	gene	717				
LCEDHOCC_01239	CDS	717				hypothetical protein
LCEDHOCC_01240	gene	264				
LCEDHOCC_01240	CDS	264				hypothetical protein
LCEDHOCC_01241	gene	204				
LCEDHOCC_01241	CDS	204				hypothetical protein
LCEDHOCC_01242	gene	495				
LCEDHOCC_01242	CDS	495				hypothetical protein
LCEDHOCC_01243	gene	843				
LCEDHOCC_01243	CDS	843				hypothetical protein
LCEDHOCC_01244	gene	663	exbB			
LCEDHOCC_01244	CDS	663	exbB		COG0811	Biopolymer transport protein ExbB
LCEDHOCC_01245	gene	435	exbD			
LCEDHOCC_01245	CDS	435	exbD		COG0848	Biopolymer transport protein ExbD
LCEDHOCC_01246	gene	1902	rpoB			
LCEDHOCC_01246	CDS	1902	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
LCEDHOCC_01247	gene	246				
LCEDHOCC_01247	CDS	246				hypothetical protein
LCEDHOCC_01248	gene	261				
LCEDHOCC_01248	CDS	261				hypothetical protein
LCEDHOCC_01249	gene	558	prsA			
LCEDHOCC_01249	CDS	558	prsA	5.2.1.8		Foldase protein PrsA
LCEDHOCC_01250	gene	492	dtd			
LCEDHOCC_01250	CDS	492	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
LCEDHOCC_01251	gene	1011	dusA			
LCEDHOCC_01251	CDS	1011	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
LCEDHOCC_01252	gene	261	gluQ			
LCEDHOCC_01252	CDS	261	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
LCEDHOCC_01253	gene	1020				
LCEDHOCC_01253	CDS	1020				hypothetical protein
LCEDHOCC_01254	gene	885				
LCEDHOCC_01254	CDS	885				hypothetical protein
LCEDHOCC_01255	gene	1527	ilvA			
LCEDHOCC_01255	CDS	1527	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
LCEDHOCC_01256	gene	864	cysA			
LCEDHOCC_01256	CDS	864	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
LCEDHOCC_01257	gene	76				
LCEDHOCC_01257	tRNA	76				tRNA-Gln(ttg)
LCEDHOCC_01258	gene	846	ispE			
LCEDHOCC_01258	CDS	846	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
LCEDHOCC_01259	gene	582	lolB			
LCEDHOCC_01259	CDS	582	lolB			Outer-membrane lipoprotein LolB
LCEDHOCC_01260	gene	1005				
LCEDHOCC_01260	CDS	1005				hypothetical protein
